ts,funding_edge_bps,entry_dir_l1_bps,net_edge_l1_bps,basis_mid_bps,bn_mark_index_bps,dir_notional5
2026-02-23 15:47:00+00:00,54.25120000000002,208.57090216720664,-154.31970216720663,206.634420902867,-501.15086260342554,144.062685
2026-02-23 15:48:00+00:00,53.08429999999999,200.94425192455301,-147.4189170012336,199.8325036058257,-495.3013878964374,114.45371000000002
2026-02-23 15:49:00+00:00,53.215199999999996,202.63825233231668,-149.5539523323167,201.50781831719922,-490.3000839623428,178.46319
2026-02-23 15:50:00+00:00,53.215199999999996,197.92538840822436,-145.0434145434889,196.2586379394571,-490.3000839623428,181.09227
2026-02-23 15:51:00+00:00,50.78780000000001,198.63236730706558,-147.47679197046415,196.84172720215943,-471.6559076186755,192.42053999999996
2026-02-23 15:52:00+00:00,49.968500000000006,194.14077859402636,-143.8431085043079,192.8901293468943,-501.90779652959037,147.066
2026-02-23 15:53:00+00:00,50.66899999999999,189.83351623975688,-139.46087324602394,188.49264064227046,-535.6777194148154,127.85352999999998
2026-02-23 15:54:00+00:00,49.6605,197.4113045907444,-147.43608182601218,195.57625145518065,-495.40493509421356,179.66134999999997
2026-02-23 15:55:00+00:00,48.447,207.90986725981787,-159.25435979716775,206.8284101396367,-514.563312460985,161.562065
2026-02-23 15:56:00+00:00,47.3407,203.48939043880353,-155.81011606845254,202.21787369769538,-520.5033892029031,148.11811
2026-02-23 15:57:00+00:00,47.53170000000001,203.41192077641068,-156.02294569859816,202.4362151408332,-501.8822196257733,225.49896
2026-02-23 15:58:00+00:00,46.31649999999998,203.99144026795656,-157.10564162830667,202.5313510620963,-485.437069236897,182.43212
2026-02-23 15:59:00+00:00,45.09889999999999,217.34582393825974,-171.1963085700973,216.29046715481383,-494.6327145357288,264.53347
